Time Stamp,Type,Stock,Indication,Expiry,Rate
2021-07-08 15:57:38.657000+00:00,STC,TSLA,650c,7/9,4.58
2021-07-08 16:47:38.372000+00:00,STC,TSLA,650c,7/9,6.55
2021-07-09 14:10:13.403000+00:00,BTO,TSLA,660c,7/9,1.92
2021-07-09 14:50:20.148000+00:00,BTO,COST,420c,7/16,0.84
2021-07-09 16:51:20.154000+00:00,STC,TSLA,660c,7/9,2.09
2021-07-09 16:54:47.865000+00:00,STC,TSLA,650c,7/9,8.55
2021-07-09 17:29:36.571000+00:00,BTO,BA,240c,7/16,3.46
2021-07-09 19:57:46.507000+00:00,STC,BA,240c,7/16,3.40
2021-07-09 19:58:42.553000+00:00,STC,COST,420c,7/16,1.05
2021-07-12 13:31:42.969000+00:00,BTO,SPY,430p,7/16,0.96
